visitorid,itemid,7,rate
12148,157438,7,1433260083007
21048,462461,7,1433557203704
34648,281211,7,1433177009579
40879,133052,7,1433442342578
50921,448481,7,1433351124420
57006,119737,7,1433557583299
57905,36868,7,1433346827494
57905,341009,7,1433353471177
57905,428257,7,1433345594393
69804,428257,7,1433287304778
74483,374092,7,1433464716866
89000,336842,7,1433452849011
91370,171143,7,1433311440957
100840,187913,7,1433352559915
121688,380775,7,1433193499698
121688,400969,7,1433193499729
125208,339808,7,1433278056218
138131,23257,7,1433523521807
138131,105334,7,1433290973503
138131,150882,7,1433181549959
138131,245168,7,1433180634921
138131,288525,7,1433271162004
138131,289633,7,1433522055496
138131,318333,7,1433548605093
157419,100367,7,1433143128786
157419,150185,7,1433143128833
163049,38965,7,1433355202913
163561,143418,7,1433360104831
163561,421884,7,1433348839131
163561,432925,7,1433353785143
168685,111530,7,1433299158897
184974,6633,7,1433465069282
189240,297404,7,1433442465734
189384,299044,7,1433174518180
196502,415653,7,1433274365596
208560,187132,7,1433435465690
208678,445728,7,1433285155085
226547,460553,7,1433264051542
244838,102573,7,1433141032674
253924,92466,7,1433458727265
255309,165095,7,1433526073333
263462,211451,7,1433613174660
267357,37254,7,1433526046814
268428,192288,7,1433385791314
273406,256146,7,1433196272991
286616,651,7,1433279005631
286616,303828,7,1433180140086
286616,364449,7,1433285796517
288474,124272,7,1433652046400
291283,300559,7,1433196333767
295220,335630,7,1433186012285
295588,437293,7,1433392435845
296401,321984,7,1433279012090
310500,76447,7,1433378984879
311402,208270,7,1433354586426
319482,194643,7,1433303490411
319482,249161,7,1433303490395
321381,93831,7,1433643532157
322407,260957,7,1433179992292
342306,390984,7,1433334858830
346597,427749,7,1433190551915
350566,268335,7,1433190559806
366436,33139,7,1433474165685
403341,173956,7,1433395937414
404403,26210,7,1433202709062
404403,50934,7,1433187283751
404403,416187,7,1433184342293
413096,127969,7,1433622776842
428886,193518,7,1433450166772
432499,142671,7,1433348620042
438441,29725,7,1433439536826
438441,58233,7,1433379691317
438441,93608,7,1433452686436
438441,97132,7,1433367073607
438441,119736,7,1433382787152
438441,211561,7,1433380453488
438441,259467,7,1433370388230
438441,272318,7,1433358559288
438441,301925,7,1433437668856
438441,331552,7,1433358559288
438441,342084,7,1433358559288
438441,398907,7,1433379282477
438441,419468,7,1433365662374
438441,446852,7,1433368316186
438441,456874,7,1433380208307
451106,17478,7,1433345966787
477390,265966,7,1433429363201
488277,221317,7,1433297474578
500412,161354,7,1433382691494
503857,247376,7,1433431640796
503857,420960,7,1433442123716
503857,432992,7,1433469874276
517720,107367,7,1433274312879
523878,127969,7,1433394153568
527277,93556,7,1433448499642
530033,337358,7,1433468971654
530033,357474,7,1433473462589
536804,6364,7,1433262959938
536804,160272,7,1433262959938
536804,331159,7,1433262959985
536804,406071,7,1433262959938
542183,404369,7,1433371661197
561611,15822,7,1433431767340
597930,146364,7,1433386168030
608628,57245,7,1433199257394
673572,428554,7,1433272383650
677741,291217,7,1433395383765
705177,319855,7,1433262951538
708918,275559,7,1433206785637
723092,62800,7,1433281190524
729152,31514,7,1433478826706
740324,162556,7,1433362000052
749201,379953,7,1433355089786
759288,179290,7,1433334711914
771810,138309,7,1433613830786
777788,216266,7,1433381182465
800638,27812,7,1433211519825
805204,281480,7,1433269428344
820159,44882,7,1433179768830
820159,111306,7,1433202788608
823073,210002,7,1433512276384
855614,300906,7,1433545904353
873401,281211,7,1433181200010
876581,125862,7,1433203309713
888739,312728,7,1433470221928
892355,249207,7,1433470193480
892355,372188,7,1433381947115
897873,395497,7,1433462099280
903507,344723,7,1433575731988
906238,427931,7,1433552502216
915374,158575,7,1433294731041
936737,360258,7,1433282465217
939309,420079,7,1433611114251
939751,38965,7,1433472933938
949454,82232,7,1433365582622
949454,109616,7,1433365582638
956011,338308,7,1433212286455
957392,373725,7,1433649622012
961085,231565,7,1433299899528
961411,253156,7,1433358706516
972095,230842,7,1433576686493
974794,420960,7,1433391882550
977567,177773,7,1433179923397
992447,324670,7,1433232930235
996134,461180,7,1433217654699
1021202,312717,7,1433561011770
1026720,8426,7,1433173374975
1028073,89775,7,1433295334737
1044703,251868,7,1433519001615
1072212,170262,7,1433387792508
1084617,176824,7,1433559534286
1090857,401682,7,1433347477385
1093035,44646,7,1433443918165
1093035,127415,7,1433370658174
1093035,196177,7,1433368033163
1093035,260256,7,1433347285674
1093035,312023,7,1433536535506
1093035,325256,7,1433530079565
1093035,460188,7,1433455473883
1106190,91970,7,1433525756186
1114514,441653,7,1433273731898
1116716,271151,7,1433429426028
1137704,43090,7,1433315707083
1139092,259114,7,1433201125706
1161163,72944,7,1433536892252
1161163,117677,7,1433539063820
1161163,325310,7,1433543377793
1161163,444931,7,1433541944209
1204969,124583,7,1433644590517
1212037,32147,7,1433184534685
1233140,167827,7,1433216459038
1233931,445821,7,1433189637878
1235292,63975,7,1433184018951
1235292,150183,7,1433184018826
1236753,185179,7,1433182913691
1244048,144507,7,1433364775188
1252850,277201,7,1433180034080
1263954,235274,7,1433487994144
1270574,286940,7,1433540483877
1313950,88425,7,1433474768218
1314032,100393,7,1433262070617
1339801,465943,7,1433350379996
1341202,175356,7,1433526969509
1341202,206930,7,1433540057562
1341202,331311,7,1433547077932
1341202,381352,7,1433540920021
1342737,390591,7,1433376426997
1346478,181202,7,1433184956036
1366764,243980,7,1433264013976
1380494,230918,7,1433594769627
1406087,19269,7,1433244264771
11333,403302,7,1433818193372
42435,315852,7,1433814940584
76757,403,7,1433953315392
76757,67438,7,1433959535515
76757,119736,7,1433961281378
76757,119736,7,1433970108082
76757,264915,7,1433869024709
76757,414654,7,1433961281378
85734,408203,7,1433978407147
86444,375820,7,1433990339661
87660,292516,7,1433902826534
94177,460553,7,1433814697018
110014,395435,7,1433713620630
121370,123664,7,1433996705619
138131,8523,7,1433965494551
138131,127842,7,1433971044517
139392,367664,7,1433713875465
144274,181576,7,1434086403830
145936,400868,7,1433966086761
149978,358211,7,1433881166166
181318,336327,7,1433966984896
188096,75820,7,1433791957282
213089,42002,7,1434235236455
213098,465276,7,1433717577661
213145,117075,7,1433793718291
219788,428756,7,1433973022988
221900,414640,7,1433878138811
238511,130451,7,1433706767181
248671,424506,7,1433788553323
250372,295196,7,1434007766427
254130,25178,7,1433798515915
261793,233439,7,1434241336158
274152,17478,7,1433782656103
305506,338660,7,1433730979016
343137,325115,7,1433983125722
358516,430094,7,1433806775734
367329,365044,7,1433950068538
371604,35061,7,1433891762834
390426,352723,7,1433652176195
407633,378076,7,1433794265542
450873,427499,7,1433776361428
456617,426398,7,1433743130718
472487,172894,7,1433715375583
521419,188084,7,1434258338523
528074,312781,7,1434259156897
551849,212216,7,1433805522217
570716,117075,7,1433738601079
577262,2836,7,1433987797457
577262,159555,7,1433987797379
583003,363030,7,1433996940928
588087,111530,7,1433877588739
592953,307428,7,1433787806690
597416,259227,7,1433804185108
608844,281480,7,1433962853035
616796,96269,7,1433975865576
667217,255708,7,1433769937806
673919,429304,7,1433714268138
676735,29712,7,1434079453795
685143,343037,7,1433789639971
687775,414571,7,1433898085463
724060,66405,7,1433825477182
732767,396344,7,1433868354396
747537,110018,7,1433922930590
748040,187490,7,1433900222940
748040,360487,7,1433891598658
748040,455804,7,1433881977826
756735,133647,7,1433720055948
756779,436694,7,1433873197304
757199,238059,7,1433885317918
759678,153778,7,1433789900880
783282,111179,7,1434006877172
822310,6518,7,1434054946052
822310,70004,7,1434054946147
822310,443161,7,1434054946131
841939,85914,7,1433874983283
841939,113440,7,1433785597849
841939,222285,7,1433785597677
841939,315685,7,1433817531739
841939,366238,7,1433785597677
854310,175485,7,1433768290889
858445,165169,7,1433743895904
859462,85945,7,1433875944413
861651,8015,7,1434074628782
869123,411886,7,1433708961410
879063,309778,7,1433824777620
879685,17478,7,1433702475644
892355,72299,7,1433697302657
892355,119736,7,1433703973431
892355,409746,7,1433702433173
903507,122604,7,1433575731972
918146,432478,7,1434049406623
937584,459475,7,1434051605164
940498,71530,7,1434067900368
960973,115889,7,1434074762585
977450,391688,7,1433573784976
1004711,132347,7,1433986396221
1012516,393768,7,1433955374371
1012647,109663,7,1433716628581
1052311,97836,7,1434060970289
1065255,181687,7,1434249657369
1075423,50443,7,1433699790424
1075423,399550,7,1433698239745
1075423,464954,7,1433707774287
1093035,130113,7,1433956602220
1093035,156466,7,1433956602220
1093035,289633,7,1433799620657
1093035,407078,7,1433961817339
1104300,256164,7,1433902951781
1134975,161354,7,1433800796921
1134975,281212,7,1433800796921
1143383,62206,7,1433956981738
1143383,92271,7,1434215228602
1143383,117438,7,1433899309014
1149372,288418,7,1433881278977
1156969,104478,7,1434045877813
1161163,190806,7,1434074800757
1168431,135591,7,1433949531667
1169956,35245,7,1433667227278
1169956,308648,7,1433667227278
1173572,313375,7,1434256608696
1183092,238182,7,1433793345502
1206508,109312,7,1433958910011
1211071,224487,7,1433797586621
1212999,32500,7,1433784306318
1212999,192003,7,1433784306349
1234499,32299,7,1433730079549
1245659,336165,7,1433738892422
1246346,256473,7,1433704386999
1246436,68106,7,1433984338634
1251411,358348,7,1434257955768
1258928,43392,7,1433917878489
1258928,171465,7,1433917878473
1337408,360487,7,1433800779655
1356496,248676,7,1433880994247
1359706,64137,7,1433693594315
1381398,13879,7,1434176962557
1390828,319942,7,1433968355353
